Entity Name,EPA Holdings,LLC Holdings,Difference
Garrett Motion Inc,47300,47300,0
Gartner Inc,19157,20557,-1400
GATX Corp,31339,28239,3100
General Dynamics Corp,21573,23473,-1900
General Electric Co,919356,978063,-58707
General Mills Inc,179729,178935,794
General Motors Co,525856,216706,309150
Genesco Inc,18731,17931,800
Genpact Ltd,68107,106915,-38808
Gentex Corp/MI,909261,1028661,-119400
Gentherm Inc,27452,27452,0
Genuine Parts Co,56972,58272,-1300
Geospace Technologies Corp,19935,19835,100
Gibraltar Industries Inc,30317,22617,7700
G-III Apparel Group Ltd,38431,38431,0
Gildan Activewear Inc,29300,29300,0
Gilead Sciences Inc,875415,850294,25121
Glacier Bancorp Inc,66408,61408,5000
Global Blood Therapeutics Inc,28762,28412,350
Global Net Lease Inc,60700,48900,11800
Global Payments Inc,64100,76436,-12336
Globus Medical Inc,57222,52322,4900
GMS Inc,37300,30300,7000
GoDaddy Inc,2133,2133,0
Goldman Sachs ActiveBeta International Equity ETF,1247434,1289257,-41823
Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,694233,717397,-23164
Goldman Sachs Group Inc/The,58508,85222,-26714
Goodyear Tire & Rubber Co/The,141100,363200,-222100
Google Inc,783705,770426,13279
Gossamer Bio Inc,254309,273409,-19100
Government Properties Income Trust,50300,45600,4700
Graco Inc,141029,165079,-24050
GrafTech International Ltd,31449,6600,24849
Grand Canyon Education Inc,3279,3279,0
Granite Construction Inc,45702,37802,7900
Granite Point Mortgage Trust Inc,21700,10800,10900
Great Western Bancorp Inc,55503,49603,5900
Green Dot Corp,44119,38519,5600
Green Plains Renewable Energy Inc,79003,79003,0
